iter	RMSE
0	0.6619527664
1	0.6372003159
2	0.6109580842
3	0.5867960118
4	0.5653679103
5	0.5470157079
6	0.5301460555
7	0.5146594583
8	0.5016047376
9	0.4877623994
10	0.4749790666
11	0.4641939255
12	0.452973503
13	0.4456022857
14	0.4353084764
15	0.4255927026
16	0.4166787323
17	0.4085525453
18	0.400276862
19	0.3930033961
20	0.3851142181
21	0.3776570627
22	0.3709193295
23	0.3636624796
24	0.3571613947
25	0.3511640503
26	0.345225809
27	0.3396114689
28	0.3351714153
29	0.3294595371
30	0.3247329439
31	0.3199569805
32	0.3150006604
33	0.3102449134
34	0.3063402781
35	0.3032710456
36	0.2988346641
37	0.2941918717
38	0.2901512576
39	0.287166958
40	0.2827222425
41	0.2788352841
42	0.2750418759
43	0.2716679377
44	0.2677804175
45	0.2647609962
46	0.2618513851
47	0.2590607119
48	0.2570210441
49	0.2537057139
50	0.2507295185
51	0.249064453
52	0.245959171
53	0.2431208028
54	0.2411336436
55	0.2380356839
56	0.2356305975
57	0.2333340117
58	0.230534404
59	0.2278935156
60	0.2248351648
61	0.2220607166
62	0.2196363585
63	0.2179204876
64	0.2160898028
65	0.2140208246
66	0.2115728461
67	0.2086339307
68	0.2063052204
69	0.2040691911
70	0.202304275
71	0.1999887727
72	0.1977346231
73	0.1955137199
74	0.1932677983
75	0.1915871075
76	0.1898557824
77	0.1881599695
78	0.1866391179
79	0.1849162643
80	0.183280538
81	0.1814001885
82	0.1801385952
83	0.1784456644
84	0.177052215
85	0.1754490665
86	0.1740145711
87	0.171932354
88	0.1699858377
89	0.1686768463
90	0.1667882094
91	0.1655763152
92	0.1639837675
93	0.1627086391
94	0.1606504963
95	0.1592108242
96	0.1574406925
97	0.1563293617
98	0.1549552935
