iter	Passed	Remaining
0	568	56269
1	1088	53339
2	1633	52805
3	1653	39690
4	2175	41325
5	2682	42032
6	3237	43008
7	3762	43264
8	4286	43343
9	4800	43208
10	5307	42942
11	5824	42711
12	6367	42610
13	6368	39118
14	6891	39051
15	7412	38917
16	8027	39194
17	8597	39166
18	9105	38818
19	9646	38587
20	10195	38355
21	10729	38042
22	11297	37823
23	11831	37467
24	12343	37031
25	12929	36798
26	13506	36516
27	14039	36102
28	14625	35807
29	15192	35449
30	15774	35111
31	16315	34669
32	16875	34262
33	17440	33855
34	18009	33446
35	18539	32958
36	19077	32482
37	19623	32016
38	20171	31550
39	20729	31094
40	21340	30709
41	21946	30306
42	22492	29816
43	23011	29287
44	23594	28837
45	24170	28373
46	24769	27931
47	25395	27511
48	25946	27005
49	26573	26573
50	27213	26146
51	27837	25696
52	28469	25246
53	29104	24792
54	29702	24301
55	30304	23810
56	30963	23358
57	31539	22838
58	32145	22338
59	32731	21821
60	33309	21296
61	33942	20803
62	34542	20286
63	35134	19763
64	35719	19233
65	36329	18715
66	36973	18210
67	37629	17707
68	38304	17209
69	38940	16688
70	39577	16165
71	40196	15632
72	40809	15093
73	41416	14551
74	42025	14008
75	42596	13451
76	43199	12903
77	43791	12351
78	44371	11794
79	44969	11242
80	45553	10685
81	46155	10131
82	46731	9571
83	47305	9010
84	47872	8448
85	48457	7888
86	49058	7330
87	49676	6774
88	50265	6212
89	50844	5649
90	51436	5087
91	52044	4525
92	52711	3967
93	53313	3402
94	53927	2838
95	54520	2271
96	55165	1706
97	55773	1138
98	56386	569
